epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.025,1.12333,2.14838,1.13957,0.31658,0.79405,0.65517,0.48017,0.9852,1.42316,1.17753,0.07426,0.00026,0.00026
2,518.572,0.97048,0.64291,1.0719,0.83154,0.79647,0.85213,0.6101,0.95388,0.97066,1.15748,0.0475283,0.000528251,0.000528251
3,778.804,0.9441,0.58834,1.07846,0.90874,0.90635,0.94947,0.69975,0.87287,0.90169,1.14495,0.0207947,0.00079472,0.00079472
4,978.783,0.91913,0.54189,1.08171,0.66181,0.62581,0.77653,0.55651,1.09149,5.17789,1.26283,0.0009901,0.0009901,0.0009901
5,1212.97,0.90357,0.5277,1.07773,0.89077,0.86909,0.93478,0.67402,0.92729,1.24237,1.1805,0.0009868,0.0009868,0.0009868
6,1466.3,0.91086,0.51612,1.07896,0.80709,0.89255,0.85641,0.61996,0.90515,1.02015,1.17465,0.0009835,0.0009835,0.0009835
7,1702.72,0.87978,0.47839,1.05621,0.78384,0.78818,0.85063,0.58465,1.00624,0.97141,1.21631,0.0009802,0.0009802,0.0009802
8,1943.41,0.83713,0.4715,1.03214,0.93055,0.94836,0.97179,0.74219,0.86782,0.55528,1.11931,0.0009769,0.0009769,0.0009769
9,2211.59,0.81461,0.45259,1.02809,0.94246,0.95167,0.96751,0.73445,0.87121,0.49031,1.1217,0.0009736,0.0009736,0.0009736
10,2478.01,0.81556,0.43578,1.0293,0.96455,0.96809,0.9784,0.75936,0.83235,0.44681,1.10845,0.0009703,0.0009703,0.0009703
11,2715.77,0.79875,0.4378,1.01567,0.95924,0.9717,0.98404,0.76152,0.82746,0.43722,1.09419,0.000967,0.000967,0.000967
12,2933.84,0.80693,0.44614,1.01156,0.95586,0.95627,0.98032,0.75446,0.82168,0.47476,1.10371,0.0009637,0.0009637,0.0009637
13,3169.99,0.79706,0.43025,1.01891,0.95068,0.95088,0.9765,0.7146,0.93122,0.48161,1.17026,0.0009604,0.0009604,0.0009604
14,3395.56,0.7829,0.41805,1.00259,0.96741,0.96857,0.98496,0.77292,0.79219,0.42003,1.06562,0.0009571,0.0009571,0.0009571
15,3621,0.75203,0.40945,0.99929,0.97469,0.96162,0.98499,0.77231,0.81414,0.41932,1.07972,0.0009538,0.0009538,0.0009538
16,3847.89,0.74813,0.39535,0.98828,0.96394,0.97099,0.98525,0.78611,0.76862,0.40668,1.05755,0.0009505,0.0009505,0.0009505
17,4046.77,0.73448,0.39679,0.97811,0.97147,0.97004,0.98581,0.78425,0.77578,0.40271,1.06332,0.0009472,0.0009472,0.0009472
18,4236.8,0.71203,0.39042,0.9734,0.95754,0.9731,0.98116,0.7683,0.75739,0.40379,1.05135,0.0009439,0.0009439,0.0009439
19,4419.01,0.71629,0.39379,0.97599,0.9711,0.97242,0.98477,0.77378,0.78039,0.48968,1.05872,0.0009406,0.0009406,0.0009406
20,4595.16,0.71076,0.38062,0.98514,0.97765,0.98646,0.99039,0.79461,0.73642,0.38599,1.0248,0.0009373,0.0009373,0.0009373
21,4780.74,0.68055,0.38024,0.94722,0.97441,0.97777,0.9899,0.80666,0.72451,0.38752,1.02637,0.000934,0.000934,0.000934
22,4971.11,0.6761,0.35881,0.95272,0.96769,0.98233,0.98591,0.8009,0.72377,0.37482,1.03122,0.0009307,0.0009307,0.0009307
23,5169.63,0.67056,0.36226,0.95266,0.97252,0.98027,0.99001,0.80339,0.71099,0.37634,1.01771,0.0009274,0.0009274,0.0009274
24,5351.13,0.64639,0.358,0.9523,0.97444,0.98238,0.99013,0.80265,0.72379,0.38617,1.03329,0.0009241,0.0009241,0.0009241
25,5538.77,0.65155,0.3603,0.96161,0.97284,0.98469,0.98803,0.79777,0.7319,0.38151,1.03634,0.0009208,0.0009208,0.0009208
26,5713.65,0.63985,0.35216,0.93933,0.96389,0.98128,0.98848,0.78083,0.764,0.37306,1.05124,0.0009175,0.0009175,0.0009175
27,5892.94,0.63261,0.34254,0.93994,0.96786,0.98431,0.98935,0.80818,0.73535,0.35919,1.02942,0.0009142,0.0009142,0.0009142
28,6055.47,0.62062,0.33968,0.93409,0.97612,0.98285,0.98772,0.80574,0.71353,0.3483,1.01776,0.0009109,0.0009109,0.0009109
29,6251.15,0.62308,0.3439,0.93225,0.97243,0.9801,0.99095,0.80791,0.73902,0.35028,1.02867,0.0009076,0.0009076,0.0009076
30,6427.63,0.60486,0.33408,0.93067,0.97533,0.96759,0.98676,0.81059,0.70609,0.39469,1.01786,0.0009043,0.0009043,0.0009043
31,6635.58,0.59387,0.33016,0.93314,0.97414,0.97825,0.98941,0.82686,0.67917,0.34047,0.99933,0.000901,0.000901,0.000901
32,6819.05,0.59573,0.33041,0.92784,0.97281,0.98231,0.99064,0.80879,0.69389,0.36024,1.00973,0.0008977,0.0008977,0.0008977
33,7016.52,0.59293,0.32968,0.91735,0.9652,0.98804,0.98935,0.82318,0.68443,0.34775,1.00767,0.0008944,0.0008944,0.0008944
34,7182.99,0.58084,0.32623,0.92674,0.97972,0.98973,0.99115,0.82738,0.66404,0.32926,0.99591,0.0008911,0.0008911,0.0008911
35,7389.16,0.57077,0.31799,0.91959,0.97202,0.99318,0.99085,0.81431,0.69418,0.33037,1.01492,0.0008878,0.0008878,0.0008878
36,7589.06,0.57967,0.32832,0.92648,0.9788,0.98902,0.99095,0.83079,0.65618,0.31689,0.99011,0.0008845,0.0008845,0.0008845
37,7785.54,0.56104,0.31392,0.90791,0.97081,0.98875,0.99062,0.82834,0.66116,0.33061,0.99623,0.0008812,0.0008812,0.0008812
38,7973.16,0.5344,0.30069,0.90173,0.97846,0.98557,0.99145,0.84653,0.64932,0.31704,0.98745,0.0008779,0.0008779,0.0008779
39,8159.18,0.54706,0.30092,0.90586,0.97791,0.98625,0.99151,0.84196,0.66475,0.31999,0.99525,0.0008746,0.0008746,0.0008746
40,8324.44,0.55199,0.30336,0.91176,0.97937,0.98046,0.99147,0.83341,0.6508,0.31442,0.98298,0.0008713,0.0008713,0.0008713
41,8514.08,0.51825,0.2936,0.89919,0.97482,0.99049,0.99103,0.85095,0.61036,0.29735,0.96274,0.000868,0.000868,0.000868
42,8695.74,0.51193,0.29081,0.8934,0.98252,0.98057,0.99099,0.84436,0.63404,0.31842,0.97525,0.0008647,0.0008647,0.0008647
43,8892.05,0.5193,0.30134,0.89631,0.97726,0.98495,0.99158,0.84304,0.62774,0.31197,0.97167,0.0008614,0.0008614,0.0008614
44,9061.69,0.52319,0.30259,0.89947,0.98066,0.98651,0.9918,0.83344,0.63192,0.31576,0.98028,0.0008581,0.0008581,0.0008581
45,9250.94,0.52116,0.29755,0.90071,0.97636,0.98599,0.99189,0.83817,0.63161,0.31077,0.98822,0.0008548,0.0008548,0.0008548
46,9456.39,0.51188,0.29837,0.89957,0.98176,0.98553,0.99161,0.84915,0.61675,0.30605,0.97713,0.0008515,0.0008515,0.0008515
47,9642.67,0.48139,0.28109,0.87969,0.98386,0.98848,0.99163,0.85622,0.60251,0.30165,0.96896,0.0008482,0.0008482,0.0008482
48,9834.32,0.48617,0.28136,0.88157,0.98585,0.98635,0.99212,0.8589,0.60306,0.29238,0.97115,0.0008449,0.0008449,0.0008449
49,10024.1,0.48998,0.2915,0.88628,0.98103,0.98321,0.99205,0.86364,0.57952,0.2968,0.95021,0.0008416,0.0008416,0.0008416
50,10198.1,0.48441,0.28152,0.88888,0.97731,0.98474,0.99131,0.85598,0.58226,0.2856,0.9483,0.0008383,0.0008383,0.0008383
51,10365.1,0.49794,0.28094,0.88765,0.98162,0.98927,0.99252,0.86897,0.5729,0.27896,0.94945,0.000835,0.000835,0.000835
52,10542.8,0.49909,0.28423,0.89903,0.98033,0.99267,0.99212,0.8554,0.59634,0.28271,0.95697,0.0008317,0.0008317,0.0008317
53,10753.8,0.48265,0.27387,0.88317,0.98558,0.98043,0.99163,0.86384,0.5703,0.28347,0.94307,0.0008284,0.0008284,0.0008284
54,10933,0.47151,0.2729,0.87538,0.98485,0.98894,0.99222,0.86245,0.58273,0.27301,0.95208,0.0008251,0.0008251,0.0008251
55,11116.2,0.46838,0.2755,0.87571,0.98463,0.987,0.99289,0.87337,0.55593,0.27476,0.93729,0.0008218,0.0008218,0.0008218
56,11289.4,0.47279,0.26872,0.88539,0.98227,0.99177,0.99075,0.86332,0.56562,0.27594,0.94496,0.0008185,0.0008185,0.0008185
57,11496.9,0.46856,0.27485,0.87413,0.98581,0.98918,0.99219,0.87183,0.56476,0.2773,0.9462,0.0008152,0.0008152,0.0008152
58,11665.6,0.45671,0.26658,0.87637,0.97966,0.99274,0.99247,0.86567,0.57464,0.27258,0.94557,0.0008119,0.0008119,0.0008119
59,11872.9,0.46559,0.27049,0.87455,0.97898,0.98846,0.99333,0.87298,0.5551,0.27377,0.94732,0.0008086,0.0008086,0.0008086
60,12058.2,0.45622,0.26323,0.86894,0.9769,0.99288,0.99195,0.87004,0.55451,0.27975,0.93957,0.0008053,0.0008053,0.0008053
61,12242.6,0.4584,0.26265,0.87308,0.97703,0.99271,0.99254,0.87558,0.55899,0.27296,0.93747,0.000802,0.000802,0.000802
62,12419.6,0.4533,0.26477,0.87315,0.97999,0.99411,0.99273,0.87911,0.56081,0.27396,0.93011,0.0007987,0.0007987,0.0007987
